id,sex,edad,origen,timerun,categoria,nacionalidad
122,Hombre,36,Cali,2889,2. Abierta,COL
123,Hombre,40,Cali,2890,3. Veteranos A,COL
124,Hombre,37,Palmira,2890,2. Abierta,COL
125,Hombre,33,Cali,2891,2. Abierta,COL
126,Hombre,35,Cali,2893,2. Abierta,COL
127,Hombre,43,Cali,2896,3. Veteranos A,COL
128,Hombre,47,Cali,2896,3. Veteranos A,COL
129,Hombre,24,Jamundi,2901,2. Abierta,COL
130,Mujer,41,Cali,2902,3. Veteranos A,COL
131,Hombre,33,Jamundi,2903,2. Abierta,COL
132,Mujer,34,Jamundí,2903,2. Abierta,COL
133,Hombre,63,Cali,2906,5. Veteranos C,COL
134,Mujer,28,Cali,2914,2. Abierta,COL
135,Hombre,48,Cali,2917,3. Veteranos A,COL
136,Hombre,35,Cali,2919,2. Abierta,COL
137,Hombre,51,Cali,2920,4. Veteranos B,COL
138,Mujer,34,Cali,2925,2. Abierta,COL
139,Hombre,24,Cali,2931,2. Abierta,COL
140,Hombre,33,Cali,2933,2. Abierta,COL
141,Hombre,30,Jamundi,2933,2. Abierta,COL
142,Hombre,64,Cali,2936,5. Veteranos C,COL
143,Hombre,38,Cali,2940,2. Abierta,COL
144,Hombre,43,Cali,2941,3. Veteranos A,COL
145,Hombre,25,Cali,2943,2. Abierta,COL
146,Hombre,31,Cali,2944,2. Abierta,COL
147,Hombre,19,Cali,2946,2. Abierta,COL
148,Hombre,27,Cali,2949,2. Abierta,COL
149,Hombre,45,Cali,2949,3. Veteranos A,COL
150,Hombre,40,Cali,2952,3. Veteranos A,COL
151,Hombre,40,Cali,2952,3. Veteranos A,COL
152,Hombre,53,Cali,2955,4. Veteranos B,COL
153,Mujer,45,Popayan,2956,3. Veteranos A,COL
154,Hombre,30,Candelaria,2959,2. Abierta,COL
155,Hombre,35,Cali,2963,2. Abierta,COL
156,Hombre,45,Cali,2966,3. Veteranos A,COL
157,Hombre,56,Cali,2968,4. Veteranos B,COL
158,Hombre,55,Cali,2968,4. Veteranos B,COL
159,Hombre,24,Cali,2974,2. Abierta,COL
160,Hombre,29,Cali,2975,2. Abierta,COL
161,Hombre,56,Cali,2978,4. Veteranos B,COL
162,Hombre,33,Cali,2978,2. Abierta,COL
163,Hombre,62,Popayan,2979,5. Veteranos C,COL
164,Hombre,52,Cali,2980,4. Veteranos B,COL
165,Mujer,19,Cali,2980,2. Abierta,COL
166,Mujer,24,Cali,2981,2. Abierta,COL
167,Hombre,34,Cali,2982,2. Abierta,COL
168,Hombre,43,Jamundi,2983,3. Veteranos A,COL
169,Hombre,42,Cali,2984,3. Veteranos A,COL
170,Hombre,35,Cali,2986,2. Abierta,COL
171,Mujer,20,Cali,2988,2. Abierta,COL
172,Hombre,37,Cali,2990,2. Abierta,COL
173,Hombre,49,Cali,2994,3. Veteranos A,COL
174,Hombre,28,Cali,2995,2. Abierta,COL
175,Hombre,31,Cali,2995,2. Abierta,COL
176,Hombre,33,Jamundí,2996,2. Abierta,COL
177,Mujer,25,Cali,2997,2. Abierta,COL
178,Hombre,57,Cali,3000,4. Veteranos B,COL
179,Hombre,29,Cali,3000,2. Abierta,COL
180,Hombre,33,Cali,3000,2. Abierta,COL
181,Hombre,32,Cali,3002,2. Abierta,COL
182,Mujer,30,Palmira,3003,2. Abierta,COL
183,Hombre,42,Cali,3006,3. Veteranos A,COL
184,Hombre,26,Cali,3007,2. Abierta,COL
185,Hombre,23,Cali,3007,2. Abierta,COL
186,Mujer,45,Cali,3010,3. Veteranos A,COL
187,Hombre,33,Palmira,3011,2. Abierta,COL
188,Hombre,41,Cali,3018,3. Veteranos A,COL
189,Hombre,43,Jamundi,3020,3. Veteranos A,COL
190,Hombre,39,Cali,3021,2. Abierta,COL
191,Hombre,45,Cali,3021,3. Veteranos A,COL
192,Hombre,31,Cali,3022,2. Abierta,COL
193,Hombre,40,Cali,3024,3. Veteranos A,COL
194,Hombre,32,Villa Rica,3025,2. Abierta,COL
195,Hombre,44,Cali,3027,3. Veteranos A,COL
196,Hombre,26,Cali,3029,2. Abierta,COL
197,Hombre,35,Cali,3035,2. Abierta,COL
198,Hombre,22,Cali,3036,2. Abierta,COL
199,Hombre,69,Cali,3037,5. Veteranos C,COL
200,Hombre,28,Cali,3040,2. Abierta,COL
201,Hombre,51,Cali,3040,4. Veteranos B,COL
202,Hombre,31,Cali,3041,2. Abierta,COL
203,Hombre,49,Cali,3042,3. Veteranos A,COL
204,Hombre,28,Cali,3043,2. Abierta,COL
205,Hombre,26,Cali,3045,2. Abierta,COL
206,Hombre,53,Cumaná,3049,4. Veteranos B,VEN
207,Hombre,39,Cali,3049,2. Abierta,COL
208,Hombre,17,Cali,3049,1. Juvenil,COL
209,Hombre,37,Ginebra,3052,2. Abierta,COL
210,Hombre,23,Cali,3053,2. Abierta,COL
211,Hombre,22,Guacari,3053,2. Abierta,COL
212,Hombre,30,Cali,3054,2. Abierta,COL
213,Mujer,24,Cali,3055,2. Abierta,COL
214,Mujer,16,Cali,3058,1. Juvenil,COL
215,Hombre,28,Popayan,3060,2. Abierta,COL
216,Hombre,26,Popayan,3061,2. Abierta,COL
217,Hombre,32,Cali,3062,2. Abierta,COL
218,Hombre,39,Cali,3062,2. Abierta,COL
219,Hombre,47,Cali,3067,3. Veteranos A,COL
220,Hombre,51,Cali,3068,4. Veteranos B,COL
221,Hombre,52,Cali,3069,4. Veteranos B,COL
222,Hombre,28,Jamundi,3069,2. Abierta,COL
223,Hombre,39,Cali,3075,2. Abierta,COL
224,Hombre,30,Cali,3077,2. Abierta,COL
225,Hombre,25,Cali,3078,2. Abierta,COL
226,Hombre,37,Cali,3079,2. Abierta,COL
227,Hombre,30,Cali,3079,2. Abierta,COL
228,Hombre,31,Cali,3080,2. Abierta,COL
229,Hombre,56,Cali,3081,4. Veteranos B,COL
230,Hombre,39,Cali,3085,2. Abierta,COL
231,Hombre,33,Cali,3087,2. Abierta,COL
232,Hombre,55,Cali,3087,4. Veteranos B,COL
233,Hombre,25,Cali,3088,2. Abierta,COL
234,Hombre,33,Cali,3093,2. Abierta,COL
235,Hombre,35,Cali,3093,2. Abierta,COL
236,Hombre,40,Cali,3093,3. Veteranos A,COL
237,Hombre,24,Cali,3095,2. Abierta,COL
238,Hombre,69,Cali,3096,5. Veteranos C,COL
239,Hombre,39,Cali,3103,2. Abierta,COL
240,Hombre,42,Cali,3106,3. Veteranos A,COL
241,Hombre,39,Cali,3106,2. Abierta,COL
242,Mujer,57,Cali,3108,4. Veteranos B,COL
243,Hombre,40,Vijes,3108,3. Veteranos A,COL
244,Hombre,34,Cali,3109,2. Abierta,COL
245,Hombre,33,Cali,3109,2. Abierta,COL
246,Hombre,18,Cali,3111,2. Abierta,COL
247,Hombre,40,Cali,3111,3. Veteranos A,COL
248,Hombre,22,Cali,3112,2. Abierta,COL
249,Hombre,34,Cali,3116,2. Abierta,COL
250,Hombre,32,Candelaria,3118,2. Abierta,COL
251,Hombre,39,Jamundi,3122,2. Abierta,COL
252,Hombre,27,Cali,3123,2. Abierta,COL
253,Hombre,34,Cali,3125,2. Abierta,COL
254,Hombre,32,Jamundi,3127,2. Abierta,COL
255,Mujer,51,Cali,3132,4. Veteranos B,COL
256,Mujer,43,Cali,3132,3. Veteranos A,COL
257,Hombre,41,Cali,3135,3. Veteranos A,COL
258,Hombre,46,Cali,3136,3. Veteranos A,COL
259,Hombre,52,Candelaria,3137,4. Veteranos B,COL
260,Hombre,33,Cali,3142,2. Abierta,COL
261,Hombre,41,Cali,3142,3. Veteranos A,COL
262,Hombre,29,Cali,3144,2. Abierta,COL
263,Mujer,37,Cali,3145,2. Abierta,COL
264,Mujer,40,Cali,3146,3. Veteranos A,COL
265,Hombre,66,Palmira,3146,5. Veteranos C,COL
266,Hombre,21,Cali,3147,2. Abierta,COL
267,Hombre,35,Cali,3149,2. Abierta,COL
268,Hombre,33,Cali,3150,2. Abierta,COL
269,Hombre,62,Cali,3151,5. Veteranos C,COL
270,Hombre,46,Cali,3151,3. Veteranos A,COL
271,Hombre,31,Cali,3152,2. Abierta,COL
272,Hombre,44,Cali,3153,3. Veteranos A,COL
273,Mujer,34,Cali,3154,2. Abierta,COL
274,Mujer,35,Cali,3156,2. Abierta,COL
275,Hombre,27,Cali,3157,2. Abierta,COL
276,Hombre,36,Cali,3160,2. Abierta,COL
277,Hombre,37,Cali,3160,2. Abierta,COL
278,Hombre,57,Cali,3161,4. Veteranos B,COL
279,Hombre,31,Cali,3163,2. Abierta,COL
280,Hombre,52,Cali,3164,4. Veteranos B,COL
281,Mujer,28,Cali,3164,2. Abierta,COL
282,Mujer,36,Cali,3165,2. Abierta,COL
283,Hombre,41,Cali,3165,3. Veteranos A,COL
284,Hombre,36,Cali,3168,2. Abierta,COL
285,Hombre,25,Cali,3169,2. Abierta,COL
286,Hombre,55,Palmira,3170,4. Veteranos B,COL
287,Hombre,43,Cali,3173,3. Veteranos A,COL
288,Mujer,30,Cali,3174,2. Abierta,COL
289,Hombre,25,Cali,3175,2. Abierta,COL
290,Mujer,23,Cali,3175,2. Abierta,COL
291,Mujer,21,Cali,3176,2. Abierta,COL
292,Hombre,64,Cali,3176,5. Veteranos C,COL
293,Hombre,16,Cali,3176,1. Juvenil,COL
294,Hombre,42,Cali,3177,3. Veteranos A,COL
295,Hombre,43,Cali,3177,3. Veteranos A,COL
296,Hombre,38,Cali,3179,2. Abierta,COL
297,Mujer,38,Cali,3180,2. Abierta,COL
298,Hombre,40,Tuluá,3181,3. Veteranos A,COL
299,Hombre,21,Cali,3181,2. Abierta,COL
300,Hombre,43,Cali,3183,3. Veteranos A,COL
301,Hombre,43,Cali,3183,3. Veteranos A,COL
302,Hombre,51,Cali,3183,4. Veteranos B,COL
303,Hombre,25,Yumbo,3184,2. Abierta,COL
304,Hombre,48,Cali,3185,3. Veteranos A,COL
305,Mujer,23,Cali,3185,2. Abierta,COL
306,Hombre,37,Cali,3187,2. Abierta,COL
307,Hombre,34,Cali,3188,2. Abierta,COL
308,Hombre,46,Manizales,3189,3. Veteranos A,COL
309,Mujer,51,Cali,3190,4. Veteranos B,COL
310,Hombre,31,Cali,3190,2. Abierta,COL
311,Hombre,43,Cali,3191,3. Veteranos A,COL
312,Hombre,51,Cali,3192,4. Veteranos B,COL
313,Mujer,43,Cali,3193,3. Veteranos A,COL
314,Hombre,54,Cali,3193,4. Veteranos B,COL
315,Hombre,34,Cali,3193,2. Abierta,COL
316,Hombre,50,Cali,3196,4. Veteranos B,COL
317,Hombre,41,Cali,3199,3. Veteranos A,COL
318,Hombre,36,Cali,3202,2. Abierta,COL
319,Mujer,31,Cali,3203,2. Abierta,COL
320,Hombre,28,Cali,3205,2. Abierta,COL
321,Hombre,27,Cali,3207,2. Abierta,COL
322,Hombre,50,Jamundi,3208,4. Veteranos B,COL
323,Mujer,30,Cali,3209,2. Abierta,COL
324,Hombre,36,Cali,3209,2. Abierta,COL
325,Hombre,41,Cali,3210,3. Veteranos A,COL
326,Hombre,37,Candelaria,3210,2. Abierta,COL
327,Hombre,29,San Andres,3211,2. Abierta,COL
328,Hombre,53,San Andres,3211,4. Veteranos B,COL
329,Hombre,32,Cali,3211,2. Abierta,COL
330,Hombre,51,Cali,3211,4. Veteranos B,COL
331,Hombre,37,Cali,3212,2. Abierta,COL
332,Mujer,33,Cali,3212,2. Abierta,COL
333,Hombre,43,Cali,3214,3. Veteranos A,COL
334,Hombre,53,Cali,3214,4. Veteranos B,COL
335,Hombre,36,Cali,3215,2. Abierta,COL
336,Mujer,35,Cali,3219,2. Abierta,COL
337,Mujer,38,Cali,3221,2. Abierta,COL
338,Hombre,53,Cali,3221,4. Veteranos B,COL
339,Hombre,22,Cali,3222,2. Abierta,COL
340,Hombre,34,Cali,3222,2. Abierta,COL
341,Hombre,66,Cali,3223,5. Veteranos C,COL
342,Mujer,42,Cali,3224,3. Veteranos A,COL
343,Mujer,32,Cali,3226,2. Abierta,COL
344,Hombre,26,Cali,3226,2. Abierta,COL
345,Hombre,43,Cali,3227,3. Veteranos A,COL
346,Hombre,35,Cali,3227,2. Abierta,COL
347,Mujer,50,Cali,3229,4. Veteranos B,COL
348,Hombre,36,Cali,3234,2. Abierta,COL
349,Hombre,38,Cali,3235,2. Abierta,COL
350,Hombre,32,Candelaria,3237,2. Abierta,COL
351,Hombre,50,Cali,3237,4. Veteranos B,COL
352,Hombre,44,Cali,3237,3. Veteranos A,COL
353,Hombre,58,Pasto,3238,4. Veteranos B,COL
354,Hombre,63,Cali,3239,5. Veteranos C,COL
355,Hombre,21,Cali,3241,2. Abierta,COL
356,Hombre,19,Jamundi,3242,2. Abierta,COL
357,Hombre,33,Cali,3243,2. Abierta,COL
358,Mujer,25,Cali,3244,2. Abierta,COL
359,Mujer,34,Cali,3244,2. Abierta,COL
360,Hombre,55,Colonia,3245,4. Veteranos B,DEU
361,Hombre,34,Cali,3245,2. Abierta,COL
362,Hombre,47,Cali,3246,3. Veteranos A,COL
363,Hombre,29,Cali,3247,2. Abierta,COL
364,Hombre,41,Cali,3249,3. Veteranos A,COL
365,Hombre,55,Cali,3249,4. Veteranos B,COL
366,Hombre,31,Jamundi,3250,2. Abierta,COL
367,Hombre,37,Cali,3250,2. Abierta,COL
368,Hombre,56,Cali,3257,4. Veteranos B,COL
369,Hombre,27,Cali,3259,2. Abierta,COL
370,Hombre,58,Cali,3261,4. Veteranos B,COL
371,Hombre,56,Jamundi,3261,4. Veteranos B,COL
372,Hombre,34,Santander,3264,2. Abierta,COL
373,Hombre,34,Palmira,3267,2. Abierta,COL
374,Mujer,27,Cerrito,3267,2. Abierta,COL
375,Hombre,36,Cali,3268,2. Abierta,COL
376,Hombre,38,Cali,3270,2. Abierta,COL
377,Hombre,23,Cali,3270,2. Abierta,COL
378,Hombre,60,Cali,3271,5. Veteranos C,COL
379,Mujer,38,Cali,3271,2. Abierta,COL
380,Hombre,36,Cali,3271,2. Abierta,COL
381,Hombre,32,Cali,3274,2. Abierta,COL
382,Hombre,39,Cali,3276,2. Abierta,COL
383,Mujer,29,Cali,3276,2. Abierta,COL
384,Hombre,48,Cali,3277,3. Veteranos A,COL
385,Hombre,39,Cali,3277,2. Abierta,0
386,Mujer,39,Popayan,3279,2. Abierta,COL
387,Hombre,41,Cali,3279,3. Veteranos A,COL
388,Mujer,45,Cali,3280,3. Veteranos A,COL
389,Hombre,39,Cali,3281,2. Abierta,COL
390,Hombre,60,Cali,3282,5. Veteranos C,COL
391,Hombre,35,Candelaria,3287,2. Abierta,COL
392,Hombre,33,Jamundi,3288,2. Abierta,COL
393,Hombre,38,Cali,3289,2. Abierta,COL
394,Mujer,41,Cali,3291,3. Veteranos A,COL
395,Hombre,44,Cali,3291,3. Veteranos A,COL
396,Hombre,42,Cali,3292,3. Veteranos A,COL
397,Mujer,36,Cali,3293,2. Abierta,COL
398,Hombre,38,Cali,3295,2. Abierta,COL
399,Hombre,31,Candelaria,3300,2. Abierta,COL
400,Hombre,23,Cali,3302,2. Abierta,COL
401,Hombre,33,Guacari,3302,2. Abierta,COL
402,Hombre,26,Cali,3303,2. Abierta,COL
403,Hombre,40,Cali,3303,3. Veteranos A,COL
404,Mujer,40,Cali,3303,3. Veteranos A,COL
405,Hombre,63,Cali,3303,5. Veteranos C,COL
406,Hombre,30,Cali,3305,2. Abierta,COL
407,Hombre,52,Cali,3305,4. Veteranos B,COL
408,Hombre,50,Cali,3308,4. Veteranos B,COL
409,Hombre,42,Cali,3310,3. Veteranos A,COL
410,Hombre,41,Cali,3313,3. Veteranos A,COL
411,Hombre,44,Cali,3316,3. Veteranos A,COL
412,Mujer,49,Cali,3317,3. Veteranos A,COL
413,Hombre,35,Cali,3318,2. Abierta,COL
414,Mujer,37,Cali,3321,2. Abierta,COL
415,Mujer,43,Cali,3321,3. Veteranos A,COL
416,Hombre,61,Buga,3321,5. Veteranos C,COL
417,Hombre,40,Cali,3322,3. Veteranos A,COL
418,Hombre,41,Cali,3322,3. Veteranos A,COL
419,Hombre,42,Cali,3322,3. Veteranos A,COL
420,Hombre,21,Cali,3322,2. Abierta,COL
421,Hombre,41,Cali,3322,3. Veteranos A,COL
422,Mujer,33,Cali,3323,2. Abierta,COL
423,Mujer,30,Palmira,3327,2. Abierta,COL
424,Hombre,32,Cali,3327,2. Abierta,COL
425,Hombre,32,Costa Rica,3330,2. Abierta,COL
426,Mujer,31,Tulua,3331,2. Abierta,COL
427,Hombre,54,Jamundi,3331,4. Veteranos B,COL
428,Mujer,49,Cali,3332,3. Veteranos A,COL
429,Hombre,27,Cali,3334,2. Abierta,COL
430,Hombre,42,Jamundi,3335,3. Veteranos A,COL
431,Hombre,37,Cali,3335,2. Abierta,COL
432,Hombre,32,Cali,3336,2. Abierta,COL
433,Hombre,29,Jamundí,3339,2. Abierta,COL
434,Hombre,56,Cali,3339,4. Veteranos B,COL
435,Mujer,32,Cali,3339,2. Abierta,COL
436,Hombre,21,Cali,3339,2. Abierta,COL
437,Mujer,51,Cali,3340,4. Veteranos B,COL
438,Hombre,33,Cali,3340,2. Abierta,COL
439,Hombre,32,Cali,3342,2. Abierta,COL
440,Hombre,25,Cali,3342,2. Abierta,COL
441,Hombre,43,Cali,3343,3. Veteranos A,COL
442,Hombre,32,Yumbo,3343,2. Abierta,COL
443,Mujer,63,Cali,3344,5. Veteranos C,COL
444,Hombre,40,Yumbo,3345,3. Veteranos A,COL
445,Mujer,37,Cali,3345,2. Abierta,COL
446,Hombre,25,Cali,3347,2. Abierta,COL
447,Hombre,47,Cali,3347,3. Veteranos A,COL
448,Hombre,41,Cali,3350,3. Veteranos A,COL
449,Hombre,30,Cali Valle,3352,2. Abierta,COL
450,Hombre,34,Cali,3356,2. Abierta,COL
451,Hombre,51,Cali,3357,4. Veteranos B,COL
452,Hombre,54,Cali,3357,4. Veteranos B,COL
453,Hombre,35,Cali,3357,2. Abierta,COL
454,Mujer,41,Cali,3358,3. Veteranos A,COL
455,Mujer,31,Cali,3359,2. Abierta,COL
456,Hombre,52,Cali,3359,4. Veteranos B,COL
457,Mujer,41,Cali,3361,3. Veteranos A,COL
458,Hombre,28,Cali,3361,2. Abierta,COL
459,Hombre,44,Cali,3362,3. Veteranos A,COL
460,Hombre,35,Cali,3362,2. Abierta,COL
461,Mujer,38,Cali,3364,2. Abierta,COL
462,Hombre,25,Cali,3365,2. Abierta,COL
463,Hombre,33,Cali,3366,2. Abierta,COL
464,Hombre,35,Cali,3366,2. Abierta,COL
465,Hombre,29,Popayán,3366,2. Abierta,COL
466,Mujer,30,Cali,3366,2. Abierta,COL
467,Mujer,44,Cali,3366,3. Veteranos A,COL
468,Hombre,43,Cali,3367,3. Veteranos A,COL
469,Hombre,38,Cali,3367,2. Abierta,COL
470,Hombre,27,Cali,3367,2. Abierta,COL
471,Hombre,38,Jamundi,3367,2. Abierta,COL
472,Mujer,41,Cali,3367,3. Veteranos A,COL
473,Hombre,27,Cali,3368,2. Abierta,COL
474,Hombre,28,Cali,3368,2. Abierta,COL
475,Hombre,52,Riosucio,3376,4. Veteranos B,COL
476,Hombre,36,Cali,3378,2. Abierta,COL
477,Mujer,40,Cali,3378,3. Veteranos A,COL
478,Hombre,31,Cali,3379,2. Abierta,COL
479,Hombre,50,Cali,3379,4. Veteranos B,COL
480,Hombre,54,Cali,3380,4. Veteranos B,COL
481,Hombre,35,Cali,3381,2. Abierta,COL
482,Hombre,32,Cali,3382,2. Abierta,COL
483,Hombre,37,Cali,3383,2. Abierta,COL
484,Hombre,29,Cali,3384,2. Abierta,COL
485,Hombre,26,Cali,3385,2. Abierta,COL
486,Hombre,51,Cali,3386,4. Veteranos B,COL
487,Mujer,28,Cali,3386,2. Abierta,COL
488,Hombre,50,Cali,3386,4. Veteranos B,COL
489,Hombre,42,Cali,3387,3. Veteranos A,COL
490,Hombre,26,Cali,3389,2. Abierta,COL
491,Mujer,38,Cali,3389,2. Abierta,COL
492,Mujer,32,Cali,3389,2. Abierta,COL
493,Hombre,34,Cali,3392,2. Abierta,COL
494,Mujer,38,Cali,3393,2. Abierta,COL
495,Mujer,37,Cali,3395,2. Abierta,COL
496,Hombre,32,Cali,3398,2. Abierta,COL
497,Hombre,49,Jamundí,3398,3. Veteranos A,COL
498,Hombre,26,Cali,3400,2. Abierta,COL
499,Hombre,39,Cali,3402,2. Abierta,COL
500,Mujer,22,Cali,3402,2. Abierta,COL
501,Mujer,49,Cali,3404,3. Veteranos A,COL
502,Mujer,30,Cali,3405,2. Abierta,COL
503,Mujer,35,Cali,3407,2. Abierta,COL
504,Mujer,36,Cali,3408,2. Abierta,COL
505,Hombre,48,Cali,3409,3. Veteranos A,COL
506,Hombre,36,Cali,3410,2. Abierta,COL
507,Hombre,27,Cali,3411,2. Abierta,COL
508,Mujer,29,Cali,3413,2. Abierta,COL
509,Hombre,19,Cali,3414,2. Abierta,COL
510,Hombre,66,Jamundi,3414,5. Veteranos C,COL
511,Mujer,21,Cali,3415,2. Abierta,COL
